likes	coms	favs	size
60	105	8	1747
71	162	7	2366
25	18	5	1378
35	55	6	1699
81	52	7	932
50	49	9	1444
102	77	5	1492
35	83	2	2203
29	26	1	2582
40	17	5	1742
47	45	4	1721
400	169	73	6082
203	116	10	2325
142	139	9	1340
205	194	26	3775
88	227	7	2046
109	89	18	2080
238	167	63	3022
53	33	17	2680
51	39	0	2204
49	43	0	1262
90	299	7	2353
148	288	14	2298
166	297	11	4792
82	51	4	2038
161	259	17	6065
360	127	33	1247
39	59	3	826
94	82	2	2566
184	271	7	2955
181	118	9	602
71	68	8	666
87	54	8	754
33	16	10	591
225	306	5	2172
80	43	14	573
275	211	20	2704
313	624	17	4922
40	30	3	1937
44	10	2	337
48	110	7	4006
483	330	70	8571
92	328	10	2566
36	35	10	602
90	124	4	1224
19	17	0	1783
100	43	12	2302
47	55	5	1798
88	91	6	1672
43	107	3	1763
39	19	6	1189
47	71	4	2837
353	142	51	1555
163	61	15	1843
377	231	46	2313
106	78	30	4394
73	109	11	1018
0	199	1	532
886	540	185	17864
29	53	8	1168
39	43	4	2762
123	183	2	1215
62	23	2	1737
27	27	1	1476
70	66	36	5696
137	109	24	3104
21	9	0	1382
31	64	1	2329
29	26	0	742
27	17	0	726
45	73	7	1052
56	342	20	1680
67	44	10	4266
105	140	2	2585
58	99	7	1279
38	36	6	2546
81	89	3	2910
158	218	15	1275
37	22	2	1130
65	42	3	1024
60	37	6	925
50	70	9	1715
59	16	2	1296
38	20	1	382
97	186	6	2776
4	9	1	510
84	129	22	9293
78	55	5	2803
143	105	11	3756
29	19	0	1241
100	77	2	507
54	37	5	2592
124	212	9	1582
110	32	18	1260
83	42	8	4593
30	17	0	1026
16	13	3	844
31	46	3	324
149	219	61	11317
23	22	3	1398
165	109	21	2036
10	9	1	507
20	33	0	2841
41	57	6	1560
167	348	36	7417
26	35	1	2336
101	154	6	1923
234	78	10	589
97	133	21	1328
56	80	1	1181
17	35	1	3313
56	109	7	3045
147	128	6	2280
52	35	7	1504
70	107	2	1552
336	233	52	4210
363	87	39	6179
171	329	12	2944
149	53	22	1760
108	220	7	2062
220	119	25	1624
56	48	1	1244
21	15	0	396
43	66	3	1904
68	130	7	7050
36	88	7	3325
55	187	6	1920
211	93	18	6490
154	109	5	4713
141	51	5	269
143	312	15	5874
412	139	33	10713
88	66	11	2033
43	67	4	1764
201	81	36	3363
209	87	20	5407
176	172	24	615
166	99	16	528
32	30	10	276
468	498	56	2149
82	148	10	1529
306	613	33	5728
204	281	28	5693
85	89	10	120
91	50	21	5302
10	12	1	173
42	53	4	900
18	5	2	375
26	13	0	1464
25	38	1	1678
